max_len,min_len,avg_len,num_msgs,max_delta,min_delta,avg_delta,num_dio,num_dis,num_dao,max_dio_delta,min_dio_delta,avg_dio_delta,max_dis_delta,min_dis_delta,avg_dis_delta,max_dao_delta,min_dao_delta,avg_dao_delta,attack_type,num_collision_drops,num_neigh_alloc_drops,num_queue_drops,num_packetn_drops
104,5,76.12557895742955,53559,7.259821999999986,-0.003161000000091,0.0022191206809795,740874,904,740874,218.686553,-4.999999873689376e-06,0.0121149474757003,1.3243079999999998,4.300000000001525e-05,0.0044020088593576,267.339196,-6.000000212225132e-06,0.0048508633247533,VersionNumberAttack,11010,19313,108,233
104,5,77.33494238427117,38113,4.370482000000038,-0.003056000000015,0.0022728421956453,267916,323961,267916,14.609035000000006,-6.000000212225132e-06,0.007161327312484,590.6903229999999,-4.999999873689376e-06,0.011108367233609,36.630923,-4.0000001035878086e-06,0.0134113248119739,HelloFloodAttack,4916,2719,136,262
104,5,70.7370813648294,9933,6.691949000000022,-0.0028179999999977,0.0377700974813383,25999,912,25999,342.8624810000001,1.0999999998873022e-05,0.1572819620886353,27.643703,4.199999999998649e-05,0.0375669121844127,513.903298,-2.9999999995311555e-06,0.1374686590506962,NoAttack,77,10,0,0
104,5,75.00430827399887,57539,4.784042,-0.0029379999998582,0.0016528842722665,963149,935,963149,49.09393899999998,-5.999999757477781e-06,0.0150801634026671,9.537688,1.999999999946489e-06,0.0143460192719486,152.82680600000003,-7.999999979801942e-06,0.0037313940879283,VersionNumberAttack,12499,14902,48,155
104,5,71.37556453774927,9249,8.903116000000182,-0.0029029999999892,0.0371062904692671,27350,880,27350,391.4097840000002,1.100000000064938e-05,0.1454155599186956,2.687711,4.000000000004e-06,0.0074506962457337,566.9621379999999,-5.999999999062311e-06,0.1151171602983655,NoAttack,118,9,6,3
104,5,75.9962518716714,58450,4.337603999999999,-0.0031300000000555,0.001913502789164,864383,912,864383,29.961193999999978,-9.000000090964022e-06,0.0110909086669689,7.354573,-1.0000000000287557e-06,0.018718178924259,114.20367399999998,-8.000000207175617e-06,0.0041577389950276,VersionNumberAttack,13160,19130,78,201
104,5,75.30588027561824,41000,6.840848999999992,-0.0030890000000454,0.0018579713875039,326979,491513,326979,20.184015999999986,-5.999999984851456e-06,0.0080969919363918,593.543249,-6.999999982326699e-06,0.0073213355564055,53.79526600000003,-5.999999984851456e-06,0.0109898542929493,HelloFloodAttack,6632,6957,122,608
104,5,71.79345913179507,3048,9.131353999999646,-0.0028129999999961,0.0586320084410187,10089,977,10089,123.6102719999999,-9.999999992515995e-07,0.1762503496081074,3.3429199999999994,1.8000000000073513e-05,0.0133612961065573,188.492749,9.999999974752427e-07,0.3457044084060269,WorstParentAttack,23,5,2,1
104,5,72.32917993925476,2828,7.547977000000174,-0.002561,0.0533119233265179,15930,943,15930,165.5816930000001,-2.000000000279556e-06,0.1627772229481223,9.374051,2.4999999999941732e-05,0.0140501804670912,247.88389599999985,-2.9999999995311555e-06,0.1914487980413083,WorstParentAttack,51,5,0,0
104,5,74.89989830459527,12153,5.201571000000001,-0.0029520000000502,0.0014846583396042,1879554,987,1879554,19.98953800000004,-7.000000096013537e-06,0.034409343645933,6.088489999999999,2.2999999999995246e-05,0.012944102434077,43.534685999999965,-7.999999979801942e-06,0.0019107614448754,VersionNumberAttack,17248,89264,20,164
